epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,813.754,0.57661,0.9063,0.9993,0.50498,8e-05
2,1644.259,0.5108,0.9062,0.9989,0.50837,8e-05
3,2467.825,0.4727,0.9102,0.9989,0.50243,7.7016e-05
4,3288.77,0.45495,0.9269,0.9997,0.45994,6.8519e-05
5,4087.355,0.43324,0.9296,0.9991,0.45458,5.5801e-05
6,4921.348,0.41102,0.9327,0.9996,0.45076,4.08e-05
7,5604.695,0.38961,0.9398,0.9996,0.44535,2.5799e-05
8,6363.808,0.36826,0.944,0.9995,0.43307,1.3081e-05
9,6961.134,0.34974,0.9472,0.9989,0.42596,4.584e-06
10,7564.252,0.33729,0.9508,0.9987,0.42517,1.6e-06
