epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,459.864,0.30527,0.916,0.9992,0.23014,6.6667e-05
2,927.407,0.23072,0.9163,0.9995,0.23598,0.0001
3,1393.841,0.2219,0.9043,0.9996,0.25181,0.0001
4,1857.428,0.18728,0.935,0.9996,0.18517,9.9157e-05
5,2324.947,0.16859,0.9314,0.9997,0.19481,9.6657e-05
6,2787.028,0.15199,0.9272,0.9996,0.20326,9.2586e-05
7,3250.66,0.13439,0.9317,0.9997,0.19586,8.7081e-05
8,3715.146,0.11962,0.9356,0.9998,0.18571,8.033e-05
9,4187.349,0.10137,0.9415,0.9996,0.16899,7.2564e-05
10,4653.649,0.08563,0.9367,0.9995,0.18624,6.4046e-05
11,5121.165,0.06937,0.9409,0.9998,0.18229,5.5067e-05
12,5597.655,0.05528,0.9382,0.9998,0.19349,4.5933e-05
13,6057.252,0.0412,0.9427,0.9993,0.19781,3.6954e-05
14,6518.047,0.02675,0.9451,0.9992,0.20752,2.8436e-05
15,6970.106,0.01652,0.9466,0.9992,0.22923,2.067e-05
16,7425.563,0.00956,0.949,0.9984,0.23916,1.3919e-05
17,7876.874,0.00465,0.9447,0.9986,0.26986,8.414e-06
18,8324.657,0.00224,0.9495,0.9978,0.26557,4.343e-06
19,8773.916,0.00088,0.9487,0.9974,0.27787,1.843e-06
20,9221.999,0.00048,0.9503,0.9977,0.28441,1e-06
