epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,254.617,0.86895,0.871,0.9972,0.80037,0.006
2,493.691,0.79998,0.8948,0.9975,0.755,0.009
3,713.695,0.77693,0.8901,0.9985,0.75301,0.012
4,930.841,0.75643,0.9073,0.9981,0.72129,0.015
5,1072.162,0.74094,0.899,0.9976,0.73454,0.015
6,1532.948,0.72958,0.9129,0.9981,0.7065,0.014941156
7,1889.984,0.71997,0.912,0.998,0.70584,0.014765552
8,2027.633,0.71707,0.9098,0.9983,0.70942,0.014475957
9,3328.35,0.7115,0.8981,0.9978,0.73068,0.014076939
10,4393.566,0.70878,0.9128,0.9981,0.70377,0.013574789
11,4530.844,0.70545,0.9176,0.9976,0.69949,0.012977428
12,5189.304,0.7006,0.915,0.9985,0.69355,0.012294277
13,5607.574,0.69906,0.9206,0.9985,0.68279,0.011536107
14,5749.307,0.69248,0.9157,0.998,0.6999,0.010714878
15,6575.324,0.68964,0.9164,0.9981,0.68839,0.009843539
16,7039.0,0.68513,0.9181,0.9979,0.68582,0.008935833
17,7179.033,0.68047,0.9245,0.9975,0.67809,0.008006074
18,7320.569,0.67526,0.9256,0.9979,0.67528,0.007068926
19,7725.87,0.67165,0.9233,0.9983,0.67247,0.006139167
20,7876.429,0.66557,0.9228,0.9983,0.68221,0.005231461
21,8030.566,0.65961,0.9269,0.9987,0.66719,0.004360122
22,8769.155,0.65441,0.9309,0.9983,0.66313,0.003538893
23,10247.058,0.64616,0.9315,0.9982,0.66168,0.002780723
24,10388.307,0.64063,0.9322,0.9978,0.65958,0.002097572
25,10931.684,0.63567,0.9366,0.9984,0.65332,0.001500211
26,11650.07,0.6302,0.9382,0.9983,0.64975,0.000998061
27,12090.496,0.62407,0.9391,0.9984,0.64689,0.000599043
28,12226.111,0.61898,0.9386,0.9985,0.64768,0.000309448
29,12425.708,0.61727,0.9388,0.9985,0.64392,0.000133844
30,13662.333,0.61377,0.9396,0.9984,0.64317,7.5e-05
