epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,92.83,0.35668,0.8815,0.9982,0.31632,0.006666667
2,182.874,0.28317,0.8991,0.9984,0.27181,0.01
3,272.552,0.24563,0.8975,0.9991,0.26588,0.01
4,362.322,0.21139,0.9152,0.999,0.22603,0.009915717
5,451.483,0.19325,0.9046,0.9988,0.26076,0.009665738
6,541.476,0.18313,0.9115,0.9992,0.23659,0.009258575
7,631.983,0.1706,0.9125,0.9986,0.2454,0.008708094
8,722.827,0.1616,0.9122,0.999,0.23418,0.008033041
9,813.806,0.14746,0.9061,0.9986,0.26125,0.007256405
10,905.43,0.13425,0.9163,0.9996,0.23186,0.006404632
11,996.487,0.11943,0.9236,0.9989,0.21922,0.005506728
12,1086.909,0.10287,0.9156,0.9987,0.23509,0.004593272
13,1177.6,0.08549,0.9285,0.9991,0.22776,0.003695368
14,1268.122,0.0654,0.9261,0.9984,0.24723,0.002843595
15,1358.31,0.04707,0.9218,0.9985,0.2722,0.002066959
16,1447.203,0.02966,0.9296,0.9988,0.246,0.001391906
17,1536.648,0.01736,0.9323,0.9983,0.24539,0.000841425
18,1626.995,0.01109,0.9314,0.9984,0.2474,0.000434262
19,1719.528,0.00805,0.9318,0.9983,0.25387,0.000184283
20,1811.313,0.00699,0.9323,0.9983,0.2545,0.0001
