epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,189.17,0.98608,0.8103,0.9968,0.51823,0.000399787,0.000399787,0.0670842
2,296.842,0.7129,0.8672,0.9975,0.37683,0.000780312,0.000780312,0.0341314
3,396.312,0.62366,0.8765,0.9984,0.34291,0.00108579,0.00108579,0.00110357
4,495.099,0.58313,0.8716,0.9989,0.34627,0.000953908,0.000953908,0.000953908
5,592.363,0.52291,0.8915,0.9991,0.3018,0.000787483,0.000787483,0.000787483
6,689.773,0.48502,0.8932,0.9992,0.29303,0.000603,0.000603,0.000603
7,786.087,0.45696,0.8997,0.9993,0.27175,0.000418517,0.000418517,0.000418517
8,883.458,0.42709,0.906,0.9992,0.25463,0.000252092,0.000252092,0.000252092
9,1003.85,0.41224,0.9063,0.9992,0.25194,0.000120017,0.000120017,0.000120017
10,1110.77,0.39566,0.9063,0.9992,0.24812,3.52193e-05,3.52193e-05,3.52193e-05
