epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,440.909,0.3049,0.9168,0.9994,0.22882,6.6667e-05
2,922.586,0.2311,0.9132,0.9995,0.23914,0.0001
3,1376.576,0.22061,0.9089,0.9994,0.25074,0.0001
4,1832.076,0.19011,0.932,0.9995,0.18558,9.9665e-05
5,2286.192,0.17138,0.9302,0.9993,0.19759,9.8666e-05
6,2744.808,0.15212,0.936,0.9996,0.1823,9.7015e-05
7,3203.032,0.13956,0.933,0.9995,0.18518,9.4735e-05
8,3664.883,0.12692,0.931,0.9993,0.19337,9.1857e-05
9,4127.669,0.11307,0.9398,0.9994,0.16803,8.8419e-05
10,4582.836,0.10042,0.9365,0.9997,0.1821,8.4469e-05
11,5037.47,0.09165,0.9402,0.9995,0.17596,8.0059e-05
12,5494.624,0.0795,0.9387,0.9996,0.19078,7.525e-05
13,5949.319,0.06826,0.9423,0.9993,0.18825,7.0106e-05
14,6406.929,0.05852,0.934,0.9982,0.23982,6.4697e-05
15,6867.737,0.05097,0.937,0.9995,0.22161,5.9096e-05
16,7327.628,0.04008,0.9456,0.999,0.19739,5.3378e-05
17,7780.592,0.03371,0.9435,0.9995,0.20286,4.7622e-05
18,8237.877,0.02604,0.9378,0.9983,0.24752,4.1904e-05
19,8691.466,0.02115,0.9426,0.9993,0.22062,3.6303e-05
20,9255.142,0.01495,0.9402,0.9981,0.27128,3.0894e-05
21,9974.337,0.01235,0.9438,0.9977,0.26651,2.575e-05
22,10677.366,0.00774,0.9476,0.9976,0.24941,2.0941e-05
23,11398.333,0.0055,0.9459,0.998,0.27846,1.6531e-05
24,12068.244,0.00341,0.9456,0.9977,0.28847,1.2581e-05
25,12513.049,0.00205,0.947,0.9974,0.29223,9.143e-06
26,12962.106,0.00123,0.9488,0.9975,0.29785,6.265e-06
27,13418.603,0.00037,0.9483,0.9974,0.32346,3.985e-06
28,13872.371,0.00022,0.95,0.9966,0.32862,2.334e-06
29,14319.839,9e-05,0.9497,0.9965,0.33686,1.335e-06
30,14767.769,6e-05,0.9501,0.9966,0.34194,1e-06
