epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,301.249,1.3724,0.7828,0.9936,0.58457,0.00999733,0.00333244,0.00999733,0.00333244,0.00999733,0.00333244,0.00999733,0.00333244
2,601.153,1.06771,0.7807,0.9933,0.61967,0.0190075,0.00633582,0.0190075,0.00633582,0.0190075,0.00633582,0.0190075,0.00633582
3,799.479,1.33524,0.7787,0.9946,0.66546,0.0270276,0.0090092,0.0270276,0.0090092,0.0270276,0.0090092,0.0270276,0.0090092
4,984.096,1.38121,0.8019,0.9961,0.54804,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,1197.01,0.93512,0.8269,0.9968,0.45585,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1411.78,0.84929,0.8448,0.998,0.41732,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,1689.49,0.75184,0.8624,0.9979,0.38407,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,1965.77,0.68191,0.8394,0.9983,2.46031,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,2145.49,0.66023,0.8738,0.9986,0.34548,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,2329.5,0.60189,0.8798,0.9987,0.32364,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,2556.3,0.56933,0.8825,0.9986,0.31304,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,2744.86,0.59828,0.8862,0.9986,0.30743,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,2928.67,0.53622,0.8878,0.9989,0.3008,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,3111.38,0.50392,0.8907,0.9989,0.29425,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,3295.54,0.49108,0.8923,0.9988,0.28993,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,3478.81,0.46437,0.8934,0.9989,0.28655,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,3658.08,0.45245,0.8947,0.9987,0.28322,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,3832.24,0.43809,0.8955,0.9988,0.28081,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,4011.54,0.42293,0.8967,0.9987,0.27909,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,4189.13,0.40827,0.8976,0.9988,0.27709,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
