epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,160.243,0.87102,0.8662,0.9971,0.81013,0.01
2,316.626,0.81119,0.8958,0.9975,0.75702,0.015
3,535.155,0.77536,0.8903,0.9984,0.74859,0.015
4,778.442,0.74437,0.9084,0.9981,0.71806,0.01426098
5,1024.024,0.72933,0.8981,0.9976,0.7291,0.012190293
6,1243.247,0.71717,0.9145,0.9983,0.69991,0.009198062
7,1467.972,0.70166,0.915,0.9982,0.69838,0.005876938
8,1717.222,0.68624,0.9169,0.9985,0.6891,0.002884707
9,1962.196,0.66952,0.9258,0.9983,0.67235,0.00081402
10,2198.951,0.65821,0.9331,0.9985,0.66092,7.5e-05
