task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
load dataset,2026-05-23T14:43:44,yolo_modified_training,4854bc93-5a50-4bca-9c22-f43b97bb62e3,1.1709081998560578,7.424792814903885e-07,6.340645745847796e-07,4.817265268800001,1.5727183996922314,10.0,2.155161383385273e-06,9.225007380000982e-07,4.471848610814454e-06,7.549510732199825e-06,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
train model,2026-05-23T15:26:41,yolo_modified_training,4854bc93-5a50-4bca-9c22-f43b97bb62e3,2574.738726099953,0.0017500472013381291,6.796990407155846e-07,6.616312733838937,4.0133377511436095,10.0,0.006021031896177395,0.0046185936948719974,0.007154810506666157,0.01779443609771555,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
