task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
load dataset,2026-06-07T10:47:07,yolo_round5_training,5ea51d79-cefd-45ed-a60b-aaa21185dae9,1.1918310000328347,7.853717677151043e-07,6.589289106405684e-07,5.257280532,1.3984091103424074,10.0,2.4605347780473497e-06,8.494451239973722e-07,4.675660555464371e-06,7.985640457509093e-06,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
train model,2026-06-07T11:58:36,yolo_round5_training,5ea51d79-cefd-45ed-a60b-aaa21185dae9,4287.829510700016,0.002709838068719071,6.319827972306973e-07,5.554700369816298,4.336737995184798,10.0,0.0069719143042768494,0.008668167767862,0.011913483518611045,0.027553565590749896,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
