Model,Epochs,Train Loss,Val Loss,Top-1 Acc (%),Top-5 Acc (%),Train Time (min),Energy (kWh),Emissions (gCO₂),GPU Energy (kWh),CPU Energy (kWh),RAM Energy (kWh),Duration (s)
YOLO26 Round 5,20.0,0.40827,0.27709,89.76,99.88,69.82,0.027562,2.7107,0.00867,0.006974,0.011918,4289.87
CNN Round 5,20.0,0.00699,0.2545,93.23,99.83,30.19,0.024957,2.4544,0.003479,0.016435,0.005043,1815.05
ViT (Transformers) Round 5,20.0,0.00048,0.28441,95.03,99.77,153.7,0.15415,15.1603,0.044094,0.084409,0.025647,9232.21
