task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
load dataset,2026-05-31T15:00:38,cnn_round3_training,06fabaff-c5be-4fa4-8c72-3512d98cd421,0.7796792999997706,8.514014207427258e-07,1.0920609720758266e-06,4.8257768784,1.9835216522786905,10.0,2.4070800805298453e-06,1.2655565679985797e-06,4.984391666665841e-06,8.657028315194267e-06,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
train model,2026-05-31T18:48:23,cnn_round3_training,06fabaff-c5be-4fa4-8c72-3512d98cd421,13663.271357099999,0.015243526448942871,1.1156572010383168e-06,16.95477800101392,1.868255758143336,10.0,0.11038719777664374,0.0066537019896240005,0.03795489525694445,0.15499579502321217,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
