task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
load dataset,2026-06-13T10:16:31,yolo_round6_training,35998a8c-6cdb-4e96-a435-b75f8e04ec44,0.6407307999907061,5.580449803851881e-07,8.704121325046332e-07,4.8204335784,2.129587711681071,10.0,1.5297107679917419e-06,9.725007779903816e-07,3.1719758333767664e-06,5.6741873793588894e-06,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
train model,2026-06-13T13:44:11,yolo_round6_training,35998a8c-6cdb-4e96-a435-b75f8e04ec44,12458.861281000078,0.007409942667944417,5.947532807804015e-07,5.311898802594546,4.049046265348489,10.0,0.020082441906248787,0.020656846803241993,0.03460482269027756,0.07534411139976833,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
