task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
load dataset,2026-06-07T11:59:00,cnn_round5_training,702977b2-fc3b-406e-9621-6d2451f1a1ec,0.6071041999966837,7.414561045843681e-07,1.221379247943691e-06,4.826690688,1.8401304141866495,10.0,2.109355135526735e-06,1.0605564039964377e-06,4.369195555530799e-06,7.539107095053972e-06,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
train model,2026-06-07T12:29:13,cnn_round5_training,702977b2-fc3b-406e-9621-6d2451f1a1ec,1812.0783328000107,0.0024529041976289146,1.3536414754741937e-06,18.729908040779133,4.370570586388427,10.0,0.016430560169572662,0.0034755763915699997,0.005034931865555539,0.0249410684266982,0.0,Brazil,BRA,amazonas,,,Windows-11-10.0.26200-SP0,3.14.3,3.2.6,12,Intel(R) Core(TM) 5 120U,1,1 x NVIDIA GeForce MX570 A,-60.0288,-3.1032,15.679611206054688,machine,0.0,0.0,0.0,0.0,N
